Points,Strokes,Distance,Time,Speed,Acceleration,Fitts Value,SigmaLog Normal,Straight Path,const velocity,Class
85,1,855.6750095,933,8958.390958,0.9171221967,0,0,0,0,HUMAN
44,1,207.8992003,573,5173.535623,0.3628258295,0,1,0,0,HUMAN
153,2,997.8073978,1778,898.5280151,0.5611965117,1,0,1,0,HUMAN
60,1,636.4141848,910,863.0930202,0.699356247,1,0,0,0,HUMAN
114,1,1367.346183,1272,588.227626,1.074957691,1,0,0,0,HUMAN
52,1,1884.336439,900,41798.3579,2.093707154,0,0,0,0,HUMAN
100,1,1066.193579,1271,964.4252281,0.8388619819,1,0,0,0,HUMAN
44,1,628.2456975,484,29409.45512,1.298028301,0,0,1,0,HUMAN
94,1,943.6341525,1134,10334.61612,0.8321288822,0,0,1,0,HUMAN
47,1,505.8097312,574,766.6301269,0.8812016223,1,1,0,0,HUMAN
116,2,2391.682623,3666,1604.874492,0.6523956964,0,1,0,0,HUMAN
63,1,695.0020912,697,4583.851997,0.9971335598,0,0,0,0,HUMAN
151,1,2190.271192,1745,14669.01387,1.255169738,1,0,0,0,HUMAN
91,1,766.7690402,1167,2664.387042,0.6570428793,1,0,0,0,HUMAN
49,1,176.1791003,539,295.1843447,0.3268628947,1,1,0,0,HUMAN
116,1,565.7189877,1563,892.3382593,0.36194433,0,1,0,0,HUMAN
59,1,260.068834,675,411.2308073,0.3852871615,0,1,0,0,HUMAN
80,1,2384.398754,979,2357.0954,2.435545204,0,0,0,0,HUMAN
88,1,1380.729832,967,4604.054589,1.427848844,0,0,0,0,HUMAN
67,1,309.3691918,778,4483.217592,0.3976467761,0,1,0,0,HUMAN
80,1,967.0703904,1182,15747.2122,0.8181644589,1,0,0,0,HUMAN
42,1,974.6422612,517,4505.695505,1.885188126,0,1,1,0,HUMAN
50,1,235.8501399,573,8978.831892,0.4116058288,0,0,0,0,HUMAN
69,1,2112.001512,1182,1840.53004,1.78680331,1,0,0,0,HUMAN
106,2,1092.988395,1779,14300.7747,0.6143835833,0,0,1,0,HUMAN
83,1,1018.855516,1887,819.4303913,0.5399340306,1,1,0,0,HUMAN
56,1,434.78318,664,416.508227,0.6547939459,0,1,0,0,HUMAN
58,1,690.5419239,732,39642.923,0.943363284,0,0,0,0,HUMAN
74,1,844.395518,843,1047.589302,1.001655419,0,0,0,0,HUMAN
51,1,840.6205306,1002,3606.04783,0.8389426453,1,1,0,0,HUMAN
35,1,1596.057978,946,513.8022737,1.687164882,0,1,0,0,HUMAN
68,1,840.9316143,834,21165.60865,1.008311288,0,0,0,0,HUMAN
67,1,594.9640158,799,618.1523083,0.7446358145,0,0,1,0,HUMAN
39,1,566.6386884,461,23343.70749,1.229151168,0,1,0,0,HUMAN
212,1,672.3245446,2756,6242.429503,0.2439493994,1,0,1,0,HUMAN
43,1,1145.927458,1430,1175.32632,0.8013478725,1,1,0,0,HUMAN
98,1,911.0441729,1361,19465.66792,0.6693932204,0,1,0,0,HUMAN
51,1,883.1658878,585,1207.485922,1.509685278,0,0,0,0,HUMAN
60,1,412.645759,697,5796.537057,0.592031218,0,0,0,0,HUMAN
95,2,2597.420456,3456,2794.857657,0.7515684191,1,0,0,0,HUMAN
102,1,1233.531449,1372,1235.234733,0.8990753999,1,0,0,0,HUMAN
71,1,626.0587804,922,567.1112846,0.6790225384,0,0,0,0,HUMAN
56,1,515.0308344,674,24163.35349,0.7641407038,0,1,0,0,HUMAN
75,1,843.388513,1317,15503.50717,0.6403861147,0,0,0,0,HUMAN
63,1,384.7061734,774,371.6115824,0.4970363997,0,1,0,0,HUMAN
97,1,918.7011139,1295,1037.415317,0.7094217095,1,0,0,0,HUMAN
83,1,729.5550354,1877,547.3119919,0.3886814253,0,0,0,0,HUMAN
51,1,354.2173398,609,613.872374,0.581637668,1,0,0,0,HUMAN
64,1,371.1561959,699,983.5624842,0.5309816822,0,0,0,0,HUMAN
96,1,1071.219811,1125,3248.382529,0.9521953873,0,0,0,0,HUMAN
139,2,1451.577631,2744,43169.58032,0.5290005944,1,0,0,0,HUMAN
77,1,3046.500868,13932,189.0479458,0.218669313,1,1,0,0,BOT
62,1,6765.713639,10668,17449.00374,0.6342063778,1,1,0,0,BOT
469,5,29303.16692,87016,469507.5572,0.3367560785,1,1,0,0,BOT
92,1,6299.324295,16986,23814.13887,0.370853897,1,1,0,0,BOT
60,1,564.5156035,4433,146.7137533,0.1273439214,1,1,1,0,BOT
149,2,11162.35184,26082,27753.41306,0.4279714684,1,1,0,0,BOT
75,1,7720.00432,12884,27150.18128,0.5991931326,1,1,0,0,BOT
35,1,2188.978287,6216,206.4145331,0.3521522341,1,1,0,0,BOT
316,5,23356.28886,58699,13755.74651,0.3978992634,1,1,0,0,BOT
165,2,7156.695514,30682,6067.492698,0.233253879,1,1,0,0,BOT
102,1,1068.394814,7133,163.1480276,0.1497819731,1,0,1,0,BOT
247,5,2647.340319,17316,257.2018232,0.1528840563,1,0,1,0,BOT
224,4,16512.42145,43480,848507.9327,0.3797705025,1,1,0,0,BOT
183,2,12105.30666,32917,22221.44769,0.3677524275,1,1,0,0,BOT
912,12,10569.33618,69132,463.7127528,0.1528863071,1,0,1,0,BOT
74,2,7984.520377,13733,26349.66741,0.5814112268,1,1,0,0,BOT
156,3,1628.619105,11298,196.924625,0.144151098,1,0,1,0,BOT
246,4,1747.624242,17450,126.5938198,0.1001503863,1,0,1,0,BOT
60,1,6360.26598,10916,15170.77975,0.5826553664,1,1,0,0,BOT
586,9,5187.406861,42949,245.2895832,0.1207806203,1,0,1,0,BOT
684,11,7854.210256,50900,328.7653899,0.1543066848,1,0,1,0,BOT
165,1,16134.49839,29235,76550.83185,0.5518898029,1,1,0,0,BOT
409,7,2398.045006,29931,97.78539374,0.0801191075,1,0,1,0,BOT
40,1,2218.631245,7501,282.4945294,0.2957780622,1,1,0,0,BOT
294,5,4066.061299,22632,428.9523502,0.1796598311,1,0,1,0,BOT
86,1,3478.064917,15102,241.2289221,0.230304921,1,1,0,0,BOT
1963,30,20690.32944,145014,584.442701,0.1426781514,1,0,1,0,BOT
60,1,201.3300084,4516,41.813278,0.0445814899,1,1,1,0,BOT
166,1,13996.06865,30765,426365.5852,0.4549347847,1,1,0,0,BOT
243,6,17616.4887,44887,784448.1523,0.392463045,1,1,0,0,BOT
